"id";"vpu_id";"decision";"avg_usage";"max_usage";"forecasted_max";"scale_percent";"itis_ticket_number";"action_status";"remarks";"run_id";"created_at";"resource_type"
287;144;"scale_down";6.41;48.23;18.06;25.0;"";"";"";"144";"2026-06-20 12:23:23";"cpu"
289;145;"scale_down";2.4;37.27;3.5;50.0;"";"";"";"145";"2026-06-20 12:23:23";"cpu"
291;146;"scale_down";2.92;30.13;1.6;50.0;"";"";"";"146";"2026-06-20 12:27:52";"cpu"
293;147;"scale_down";1.67;30.0;1.33;50.0;"";"";"";"147";"2026-06-20 12:27:53";"cpu"
295;148;"scale_down";0.4;24.87;1.06;50.0;"";"";"";"148";"2026-06-20 12:27:53";"cpu"
297;149;"scale_down";0.48;9.97;0.77;50.0;"";"";"";"149";"2026-06-20 12:27:53";"cpu"
299;150;"scale_down";4.51;24.87;9.35;50.0;"";"";"";"150";"2026-06-20 12:27:53";"cpu"
301;151;"scale_down";8.53;51.17;2.08;25.0;"";"";"";"151";"2026-06-20 12:32:32";"cpu"
303;152;"scale_down";1.24;13.7;1.23;50.0;"";"";"";"152";"2026-06-20 12:32:32";"cpu"
305;153;"scale_down";0.73;19.47;1.05;50.0;"";"";"";"153";"2026-06-20 12:32:32";"cpu"
307;154;"scale_down";2.2;45.47;2.14;25.0;"";"";"";"154";"2026-06-20 12:32:32";"cpu"
309;155;"scale_down";2.72;51.1;4.78;25.0;"";"";"";"155";"2026-06-20 12:32:32";"cpu"
311;156;"no_change";2.0;37.8;89.31;0.0;"";"";"";"156";"2026-06-20 12:37:28";"cpu"
313;157;"scale_down";1.25;31.47;1.42;50.0;"";"";"";"157";"2026-06-20 12:37:28";"cpu"
315;158;"scale_down";3.78;38.23;5.52;50.0;"";"";"";"158";"2026-06-20 12:37:28";"cpu"
317;159;"scale_down";2.83;21.7;3.33;50.0;"";"";"";"159";"2026-06-20 12:37:28";"cpu"
319;160;"scale_down";3.12;30.77;4.7;50.0;"";"";"";"160";"2026-06-20 12:37:28";"cpu"
321;161;"scale_down";3.45;53.6;5.1;25.0;"";"";"";"161";"2026-06-20 12:42:22";"cpu"
323;162;"no_change";4.16;66.37;4.45;0.0;"";"";"";"162";"2026-06-20 12:42:22";"cpu"
325;163;"no_change";4.75;68.0;9.36;0.0;"";"";"";"163";"2026-06-20 12:42:22";"cpu"
327;164;"scale_down";5.69;44.47;9.84;50.0;"";"";"";"164";"2026-06-20 12:42:22";"cpu"
329;165;"no_change";2.86;60.27;3.49;0.0;"";"";"";"165";"2026-06-20 12:42:22";"cpu"
331;166;"scale_down";2.72;41.43;46.67;25.0;"";"";"";"166";"2026-06-20 12:47:12";"cpu"
333;167;"scale_down";3.13;41.87;4.11;50.0;"";"";"";"167";"2026-06-20 12:47:12";"cpu"
335;168;"scale_down";3.06;36.6;2.67;50.0;"";"";"";"168";"2026-06-20 12:47:12";"cpu"
337;169;"scale_down";2.24;43.5;2.92;50.0;"";"";"";"169";"2026-06-20 12:47:12";"cpu"
339;170;"scale_down";2.14;24.17;4.31;50.0;"";"";"";"170";"2026-06-20 12:47:12";"cpu"
341;171;"scale_down";2.0;40.7;3.86;50.0;"";"";"";"171";"2026-06-20 12:51:42";"cpu"
343;172;"scale_down";0.79;28.13;0.98;50.0;"";"";"";"172";"2026-06-20 12:51:42";"cpu"
345;173;"scale_down";3.25;42.17;4.52;50.0;"";"";"";"173";"2026-06-20 12:51:42";"cpu"
347;174;"scale_down";4.5;39.57;4.36;50.0;"";"";"";"174";"2026-06-20 12:51:42";"cpu"
349;175;"scale_down";5.87;58.37;7.2;25.0;"";"";"";"175";"2026-06-20 12:51:42";"cpu"
351;176;"scale_down";11.07;50.63;8.85;25.0;"";"";"";"176";"2026-06-20 12:56:23";"cpu"
353;177;"scale_down";1.95;37.6;1.66;50.0;"";"";"";"177";"2026-06-20 12:56:23";"cpu"
355;178;"scale_down";4.66;37.17;5.53;50.0;"";"";"";"178";"2026-06-20 12:56:23";"cpu"
357;179;"no_change";12.4;79.8;16.13;0.0;"";"";"";"179";"2026-06-20 12:56:23";"cpu"
359;180;"scale_down";3.28;41.6;4.93;50.0;"";"";"";"180";"2026-06-20 12:56:23";"cpu"
361;181;"scale_down";3.65;40.97;10.48;50.0;"";"";"";"181";"2026-06-20 13:01:11";"cpu"
363;182;"scale_down";4.76;41.93;6.35;50.0;"";"";"";"182";"2026-06-20 13:01:11";"cpu"
365;183;"scale_down";1.65;35.3;3.95;50.0;"";"";"";"183";"2026-06-20 13:01:11";"cpu"
367;184;"scale_down";4.41;45.27;3.56;25.0;"";"";"";"184";"2026-06-20 13:01:11";"cpu"
369;185;"scale_down";3.75;38.5;6.61;50.0;"";"";"";"185";"2026-06-20 13:01:11";"cpu"
371;186;"no_change";5.31;63.7;6.24;0.0;"";"";"";"186";"2026-06-20 13:05:45";"cpu"
373;187;"no_change";3.6;63.7;4.23;0.0;"";"";"";"187";"2026-06-20 13:05:45";"cpu"
375;188;"no_change";9.46;74.1;4.96;0.0;"";"";"";"188";"2026-06-20 13:05:45";"cpu"
377;189;"scale_down";6.39;45.1;12.58;25.0;"";"";"";"189";"2026-06-20 13:05:45";"cpu"
379;190;"scale_down";4.56;49.63;6.14;25.0;"";"";"";"190";"2026-06-20 13:05:45";"cpu"
381;191;"scale_down";6.29;49.0;7.92;25.0;"";"";"";"191";"2026-06-20 13:10:37";"cpu"
383;192;"scale_down";5.5;54.97;7.44;25.0;"";"";"";"192";"2026-06-20 13:10:37";"cpu"
385;193;"scale_down";5.5;52.07;16.64;25.0;"";"";"";"193";"2026-06-20 13:10:37";"cpu"
387;194;"scale_down";4.76;49.4;10.04;25.0;"";"";"";"194";"2026-06-20 13:10:37";"cpu"
389;195;"scale_down";3.88;27.83;2.46;50.0;"";"";"";"195";"2026-06-20 13:10:37";"cpu"
391;196;"scale_down";0.14;9.1;0.35;50.0;"";"";"";"196";"2026-06-20 13:15:17";"cpu"
393;197;"scale_down";1.99;31.9;2.68;50.0;"";"";"";"197";"2026-06-20 13:15:17";"cpu"
