"vm_id";"class";"cpu_count";"cpu_core_count";"ram"
440;"host490";4;1;16384
441;"host491";4;1;15730
442;"host492";2;2;16384
443;"host493";4;2;16384
444;"host494";4;2;16384
445;"host495";6;1;16384
446;"host496";6;1;24576
447;"host497";6;1;16384
448;"host498";6;1;32768
449;"host499";6;1;16384
450;"host500";1;1;3634
451;"host501";4;2;65536
452;"host502";4;2;65536
453;"host503";4;1;32768
454;"host504";4;1;16384
455;"host505";4;1;15950
456;"host506";1;2;8192
457;"host507";2;16;262112
458;"host508";2;2;16384
459;"host509";8;4;65536
460;"host510";2;12;131072
461;"host511";2;3;16384
462;"host512";6;2;16384
463;"host513";2;1;7654
464;"host514";2;4;24576
465;"host515";5;2;32768
466;"host516";2;16;128274
467;"host517";2;4;63762
468;"host518";1;4;15706
469;"host519";1;2;3666
470;"host520";1;3;8192
471;"host521";2;4;64306
472;"host522";2;1;15762
473;"host523";4;1;63890
474;"host524";2;2;7698
475;"host525";32;1;31882
476;"host526";1;2;7698
477;"host527";2;2;15762
478;"host528";1;4;65536
479;"host529";1;2;8192
480;"host530";2;4;40960
481;"host531";2;2;49152
482;"host532";1;8;65536
483;"host533";4;8;131072
484;"host534";1;8;49152
485;"host535";1;4;8192
486;"host536";1;2;8192
487;"host537";1;2;8192
488;"host538";2;8;131072
489;"host539";1;8;24576
490;"host540";1;4;16384
491;"host541";2;4;24576
492;"host542";1;8;16384
493;"host543";1;4;16384
494;"host544";2;8;75776
495;"host545";3;2;40960
496;"host546";1;4;24576
497;"host547";8;0;0
498;"host548";1;2;7698
499;"host549";3;2;16384
500;"host550";4;1;16384
501;"host551";4;1;8192
502;"host552";4;2;65536
503;"host553";1;2;8192
504;"host554";8;2;65536
