"id";"vpu_id";"decision";"resource_type";"avg_usage";"max_usage";"forecasted_max";"scale_percent";"itis_ticket_number";"action_status";"remarks";"run_id";"created_at"
441;950;"no_change";"memory";45.62;47.29;41.95;0.0;"";"";"";"446";"2026-06-21 12:15:41"
442;951;"no_change";"memory";72.93;75.5;73.77;0.0;"";"";"";"447";"2026-06-21 12:15:41"
443;952;"scale_down";"memory";29.06;30.02;27.7;50.0;"";"";"";"448";"2026-06-21 12:15:41"
444;953;"scale_down";"memory";36.07;37.89;33.12;25.0;"";"";"";"449";"2026-06-21 12:15:41"
445;954;"no_change";"memory";48.24;50.7;57.82;0.0;"";"";"";"450";"2026-06-21 12:15:42"
446;955;"no_change";"memory";46.65;48.65;45.32;0.0;"";"";"";"451";"2026-06-21 12:18:33"
447;956;"no_change";"memory";42.83;46.21;50.49;0.0;"";"";"";"452";"2026-06-21 12:18:33"
448;957;"no_change";"memory";41.46;45.64;39.48;0.0;"";"";"";"453";"2026-06-21 12:18:33"
449;958;"no_change";"memory";47.1;48.09;45.74;0.0;"";"";"";"454";"2026-06-21 12:18:34"
450;959;"no_change";"memory";67.41;68.58;64.34;0.0;"";"";"";"455";"2026-06-21 12:18:34"
451;960;"no_change";"memory";62.89;63.61;65.2;0.0;"";"";"";"456";"2026-06-21 12:21:22"
452;961;"no_change";"memory";66.48;67.52;63.4;0.0;"";"";"";"457";"2026-06-21 12:21:22"
453;962;"no_change";"memory";49.59;51.49;50.94;0.0;"";"";"";"458";"2026-06-21 12:21:22"
454;963;"no_change";"memory";66.15;68.33;47.11;0.0;"";"";"";"459";"2026-06-21 12:21:22"
455;964;"no_change";"memory";82.26;83.35;57.88;0.0;"";"";"";"460";"2026-06-21 12:21:22"
456;965;"scale_down";"memory";39.35;40.37;40.28;25.0;"";"";"";"461";"2026-06-21 12:24:15"
457;966;"scale_down";"memory";28.14;29.44;38.9;50.0;"";"";"";"462";"2026-06-21 12:24:15"
458;967;"no_change";"memory";43.88;50.09;40.99;0.0;"";"";"";"463";"2026-06-21 12:24:15"
459;968;"no_change";"memory";60.6;63.05;54.77;0.0;"";"";"";"464";"2026-06-21 12:24:16"
460;969;"no_change";"memory";53.49;58.12;52.25;0.0;"";"";"";"465";"2026-06-21 12:24:16"
461;970;"no_change";"memory";54.47;55.72;49.3;0.0;"";"";"";"466";"2026-06-21 12:27:16"
462;971;"no_change";"memory";62.74;65.32;62.3;0.0;"";"";"";"467";"2026-06-21 12:27:16"
463;972;"scale_down";"memory";29.87;30.29;33.45;50.0;"";"";"";"468";"2026-06-21 12:27:16"
464;973;"scale_down";"memory";22.86;24.36;23.19;50.0;"";"";"";"469";"2026-06-21 12:27:17"
465;974;"no_change";"memory";40.84;42.92;41.37;0.0;"";"";"";"470";"2026-06-21 12:27:17"
466;975;"no_change";"memory";62.74;64.97;64.89;0.0;"";"";"";"471";"2026-06-21 12:30:06"
467;976;"scale_down";"memory";35.9;37.0;41.26;25.0;"";"";"";"472";"2026-06-21 12:30:06"
468;977;"no_change";"memory";80.3;80.55;81.65;0.0;"";"";"";"473";"2026-06-21 12:30:07"
469;978;"no_change";"memory";61.08;61.37;62.35;0.0;"";"";"";"474";"2026-06-21 12:30:07"
470;979;"no_change";"memory";61.07;61.37;62.35;0.0;"";"";"";"475";"2026-06-21 12:30:07"
471;980;"no_change";"memory";61.08;61.37;62.33;0.0;"";"";"";"476";"2026-06-21 12:33:06"
472;981;"no_change";"memory";80.3;80.54;71.25;0.0;"";"";"";"477";"2026-06-21 12:33:06"
473;982;"no_change";"memory";43.57;44.24;45.31;0.0;"";"";"";"478";"2026-06-21 12:33:06"
474;983;"scale_down";"memory";37.27;38.44;20.44;25.0;"";"";"";"479";"2026-06-21 12:33:06"
475;984;"scale_down";"memory";38.41;39.58;23.94;25.0;"";"";"";"480";"2026-06-21 12:33:07"
476;985;"scale_down";"memory";31.05;31.72;33.16;25.0;"";"";"";"481";"2026-06-21 12:36:04"
477;986;"no_change";"memory";55.84;56.64;55.6;0.0;"";"";"";"482";"2026-06-21 12:36:04"
478;987;"scale_down";"memory";37.56;38.61;42.35;25.0;"";"";"";"483";"2026-06-21 12:36:04"
479;988;"no_change";"memory";48.17;50.4;49.46;0.0;"";"";"";"484";"2026-06-21 12:36:04"
480;989;"no_change";"memory";48.17;50.38;53.18;0.0;"";"";"";"485";"2026-06-21 12:36:05"
481;990;"no_change";"memory";44.13;45.86;48.98;0.0;"";"";"";"486";"2026-06-21 12:38:56"
482;991;"scale_down";"memory";26.6;27.04;30.91;50.0;"";"";"";"487";"2026-06-21 12:38:56"
483;992;"scale_down";"memory";10.51;11.08;10.99;50.0;"";"";"";"488";"2026-06-21 12:38:56"
484;993;"no_change";"memory";52.72;55.18;50.56;0.0;"";"";"";"489";"2026-06-21 12:38:56"
485;994;"no_change";"memory";44.53;47.73;43.95;0.0;"";"";"";"490";"2026-06-21 12:38:57"
486;995;"no_change";"memory";45.24;55.99;48.11;0.0;"";"";"";"491";"2026-06-21 12:41:55"
487;996;"scale_down";"memory";26.58;28.09;24.99;50.0;"";"";"";"492";"2026-06-21 12:41:55"
488;997;"no_change";"memory";61.9;64.22;61.19;0.0;"";"";"";"493";"2026-06-21 12:41:55"
489;998;"no_change";"memory";58.32;62.08;54.37;0.0;"";"";"";"494";"2026-06-21 12:41:55"
490;999;"scale_down";"memory";27.01;29.83;28.24;50.0;"";"";"";"495";"2026-06-21 12:41:56"
491;1000;"scale_down";"memory";31.42;36.03;32.51;25.0;"";"";"";"496";"2026-06-21 12:44:46"
492;1001;"no_change";"memory";40.14;42.09;37.88;0.0;"";"";"";"497";"2026-06-21 12:44:46"
493;1002;"scale_down";"memory";27.61;29.44;44.69;25.0;"";"";"";"498";"2026-06-21 12:44:46"
494;1003;"scale_down";"memory";27.42;29.75;28.58;50.0;"";"";"";"499";"2026-06-21 12:44:46"
495;1004;"no_change";"memory";46.92;48.57;45.73;0.0;"";"";"";"500";"2026-06-21 12:44:47"
496;1005;"no_change";"memory";50.2;51.8;51.91;0.0;"";"";"";"501";"2026-06-21 12:46:13"
497;1006;"no_change";"memory";42.09;43.24;33.22;0.0;"";"";"";"502";"2026-06-21 12:46:14"
498;1007;"no_change";"memory";54.51;56.9;52.72;0.0;"";"";"";"503";"2026-06-21 12:46:14"
499;1008;"no_change";"memory";51.32;54.24;51.81;0.0;"";"";"";"504";"2026-06-21 12:46:14"
501;251;"scale_down";"cpu";5.78;45.3;6.17;25.0;"";"";"";"251";"2026-06-20 14:07:32"
503;252;"scale_down";"cpu";0.96;19.93;1.1;50.0;"";"";"";"252";"2026-06-20 14:07:32"
