"vm_id";"vm_name";"cpu_count";"cpu_core_count";"ram";"hypervisor";"resize_type"
337;"host387";1;8;65536;"Hyper-v";"no_change"
338;"host388";4;1;32768;"Hyper-v";"no_change"
339;"host389";4;2;16384;"Hyper-v";"no_change"
340;"host390";4;1;32768;"Hyper-v";"no_change"
341;"host391";4;1;32768;"Hyper-v";"no_change"
342;"host392";1;4;16384;"Hyper-v";"no_change"
343;"host393";2;8;65536;"Hyper-v";"no_change"
344;"host394";4;1;16384;"Hyper-v";"no_change"
345;"host395";2;1;10240;"Hyper-v";"no_change"
346;"host396";8;1;131072;"Hyper-v";"no_change"
347;"host397";4;1;16384;"Hyper-v";"no_change"
348;"host398";8;1;32768;"Hyper-v";"no_change"
349;"host399";6;1;32768;"Hyper-v";"no_change"
350;"host400";1;8;16384;"Hyper-v";"no_change"
351;"host401";4;2;24576;"Hyper-v";"no_change"
352;"host402";1;2;3660;"Hyper-v";"no_change"
353;"host403";2;2;16384;"Hyper-v";"no_change"
354;"host404";2;2;24576;"Hyper-v";"no_change"
355;"host405";2;4;65535;"Hyper-v";"no_change"
356;"host406";3;2;65535;"Hyper-v";"no_change"
357;"host407";2;4;65535;"Hyper-v";"no_change"
358;"host408";3;6;65535;"Hyper-v";"no_change"
359;"host409";3;6;65535;"Hyper-v";"no_change"
360;"host410";1;4;8192;"Hyper-v";"no_change"
361;"host411";1;4;16384;"Hyper-v";"no_change"
362;"host412";2;1;12288;"Hyper-v";"no_change"
363;"host413";12;1;32768;"Hyper-v";"no_change"
364;"host414";12;1;32768;"Hyper-v";"no_change"
